name,url,type,first_color,last_image_url
Short pleated skirt,https://us.maje.com/en/p/short-pleated-skirt/MFPJU01332_U017.html,skirt,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw414e2136/images/packshot/Maje_MFPJU01332-U017_F_P.jpg?sw=1520&sh=2000
Skort,https://us.maje.com/en/p/skort/MFPSH00601_G005.html,skort,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6188924c/images/packshot/Maje_MFPSH00601-G005_F_P.jpg?sw=1520&sh=2000
Contrast collar cardigan,https://us.maje.com/en/p/contrast-collar-cardigan/MFPCA00528_0101.html,cardigan,Ecru,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwfaad812e/images/packshot/Maje_MFPCA00528-0101_F_P.jpg?sw=1520&sh=2000
2-in-1 cardigan,https://us.maje.com/en/p/2-in-1-cardigan/MFPCA00526_2517.html,cardigan,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6d288eef/images/packshot/Maje_MFPCA00526-2517_F_P.jpg?sw=1520&sh=2000
Skort-style shorts,https://us.maje.com/en/p/skort-style-shorts/MFPSH00519_2517.html,shorts,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw5e6954fb/images/packshot/Maje_MFPSH00519-2517_H_P.jpg?sw=1520&sh=2000
Embroidered jeans,https://us.maje.com/en/p/embroidered-jeans-/MFPJE00628_0201.html,jeans,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw21e09d5a/images/packshot/Maje_MFPJE00628-0201_F_P.jpg?sw=1520&sh=2000
Embroidered denim jacket,https://us.maje.com/en/p/embroidered-denim-jacket-/MFPBL00730_0201.html,jacket,Blue,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0d1611e6/images/packshot/Maje_MFPBL00730-0201_F_P.jpg?sw=1520&sh=2000
Maje Paris rhinestone T-shirt,https://us.maje.com/en/p/maje-paris-rhinestone-t-shirt/MFPTS00892_10.html,t-shirt,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwc4710114/images/packshot/Maje_MFPTS00892-10_F_P.jpg?sw=1520&sh=2000
Trousers with jewellery detail,https://us.maje.com/en/p/trousers-with-jewellery-detail/MFPPA00665_2517.html,detail,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwdb2d6fe4/images/packshot/Maje_MFPPA00665-2517_F_P.jpg?sw=1520&sh=2000
"""Saint-Honoré"" diamanté T-shirt",https://us.maje.com/en/p/%22saint-honore%22-diamante-t-shirt/MFPTS00880_2517.html,t-shirt,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw29191981/images/packshot/Maje_MFPTS00880-2517_F_P.jpg?sw=1520&sh=2000
Paris rhinestone T-shirt,https://us.maje.com/en/p/paris-rhinestone-t-shirt/MFPTS00864_10.html,t-shirt,Pink,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw04c4c5ee/images/packshot/Maje_MFPTS00864-10_F_P.jpg?sw=1520&sh=2000
Paris rhinestone T-shirt,https://us.maje.com/en/p/paris-rhinestone-t-shirt/MFPTS00864_0183.html,t-shirt,Pink,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw3b713f17/images/packshot/Maje_MFPTS00864-0183_F_P.jpg?sw=1520&sh=2000
Oversize patterned shirt,https://us.maje.com/en/p/oversize-patterned-shirt/MFPCM00588_F048.html,shirt,Pink,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw83f6e15a/images/packshot/Maje_MFPCM00588-F048_F_P.jpg?sw=1520&sh=2000
Printed Maxi Skirt,https://us.maje.com/en/p/printed-maxi-skirt/MFPJU01307_F048.html,skirt,Pink,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw477752e2/images/packshot/Maje_MFPJU01307-F048_F_P.jpg?sw=1520&sh=2000
