name,url,type
Mid-length fleece coat,https://us.maje.com/en/p/mid-length-fleece-coat/MFPOU01229_P006.html,coat
Short faux fur coat,https://us.maje.com/en/p/short-faux-fur-coat/MFPOU01219_0101.html,coat
Faux fur coat,https://us.maje.com/en/p/faux-fur-coat/MFPOU01308_0067.html,coat
Silk tank top,https://us.maje.com/en/p/silk-tank-top-/MFPTO01035_0856.html,top
Rhinestone mini dress,https://us.maje.com/en/p/rhinestone-mini-dress/MFPRO03856_2517.html,dress
Pleated floral motif short dress,https://us.maje.com/en/p/pleated-floral-motif-short-dress/MFPRO03886_0103.html,dress
Short sequin dress,https://us.maje.com/en/p/short-sequin-dress/MFPRO03761_2517.html,dress
Diamanté crop top,https://us.maje.com/en/p/diamante-crop-top/MFPTO01013_2517.html,top
Short skirt with rhinestones,https://us.maje.com/en/p/short-skirt-with-rhinestones/MFPJU01376_2517.html,skirt
Diamanté effect skort,https://us.maje.com/en/p/diamante-effect-skort/MFPJU01262_2517.html,skort
Sequin maxi dress,https://us.maje.com/en/p/sequin-maxi-dress/MFPRO03805_0500.html,dress
Short velvet and sequinned dress,https://us.maje.com/en/p/short-velvet-and-sequinned-dress/MFPRO03901_2517.html,dress
Rhinestone tank top,https://us.maje.com/en/p/rhinestone-tank-top/MFPTS00887_2517.html,top
Sequinned velvet top,https://us.maje.com/en/p/sequinned-velvet-top/MFPTO01082_2517.html,top
Long-sleeved sequinned top,https://us.maje.com/en/p/long-sleeved-sequinned-top-/MFPTO01080_0500.html,top
Asymmetrical floral maxi dress,https://us.maje.com/en/p/asymmetrical-floral-maxi-dress/MFPRO03895_0103.html,dress
Belted sequin shirt,https://us.maje.com/en/p/belted-sequin-shirt/MFPTO01092_2517.html,shirt
Sequinned velvet playsuit,https://us.maje.com/en/p/sequinned-velvet-playsuit/MFPCO00343_2517.html,playsuit
Cardigan with rhinestone trim,https://us.maje.com/en/p/cardigan-with-rhinestone-trim/MFPCA00561_2517.html,cardigan
Sequin maxi dress,https://us.maje.com/en/p/sequin-maxi-dress/MFPRO03919_2517.html,dress
Smocked sequin top,https://us.maje.com/en/p/smocked-sequin-top/MFPTO01091_0500.html,top
Rhinestone playsuit dress,https://us.maje.com/en/p/rhinestone-playsuit-dress/MFPCO00336_2517.html,dress
Short ruffled sequinned dress,https://us.maje.com/en/p/short-ruffled-sequinned-dress/MFPRO03902_0500.html,dress
Rhinestone maxi dress,https://us.maje.com/en/p/rhinestone-maxi-dress/MFPRO03735_2517.html,dress
Short full rhinestone skirt,https://us.maje.com/en/p/short-full-rhinestone-skirt/MFPJU01367_2517.html,skirt
Reversible leather coat,https://us.maje.com/en/p/reversible-leather-coat/MFPOU01243_2517.html,coat
High-neck cashmere jumper,https://us.maje.com/en/p/high-neck-cashmere-jumper/MFPPU00841_0515.html,jumper
Short cashmere jumper,https://us.maje.com/en/p/short-cashmere-jumper/MFPPU00829_0074.html,jumper
Cashmere knit jumper,https://us.maje.com/en/p/cashmere-knit-jumper/MFPPU00842_0505.html,jumper
Cashmere jumper,https://us.maje.com/en/p/cashmere-jumper/MFPPU00843_0856.html,jumper
Stripe print high-neck jumper,https://us.maje.com/en/p/stripe-print-high-neck-jumper/MFPPU00845_0303.html,jumper
Crochet-knit maxi dress,https://us.maje.com/en/p/crochet-knit-maxi-dress-/MFPRO03713_10.html,dress
Ribbed vest top,https://us.maje.com/en/p/ribbed-vest-top/MFPTS00886_0020.html,top
Short Clover motif dress,https://us.maje.com/en/p/short-clover-motif-dress/MFPRO03880_B053.html,dress
Dual-material faux fur jacket,https://us.maje.com/en/p/dual-material-faux-fur-jacket/MFPBL00755_0505.html,jacket
Asymmetrical long pleated skirt,https://us.maje.com/en/p/asymmetrical-long-pleated-skirt/MFPJU01355_2517.html,skirt
Pleated shirt,https://us.maje.com/en/p/pleated-shirt/MFPTO01086_2517.html,shirt
Short pleated skirt,https://us.maje.com/en/p/short-pleated-skirt/MFPJU01357_2517.html,skirt
Asymmetrical pleated short skirt,https://us.maje.com/en/p/asymmetrical-pleated-short-skirt/MFPJU01328_G005.html,skirt
Asymmetrical pleated skirt,https://us.maje.com/en/p/asymmetrical-pleated-skirt/MFPJU01317_0505.html,skirt
Cutaway taffeta dress,https://us.maje.com/en/p/cutaway-taffeta-dress/MFPRO03717_0020.html,dress
Openwork shirt,https://us.maje.com/en/p/openwork-shirt/MFPCM00584_2517.html,shirt
Cropped shirt,https://us.maje.com/en/p/cropped-shirt/MFPCM00599_0103.html,shirt
Full long skirt,https://us.maje.com/en/p/full-long-skirt/MFPJU01347_0103.html,skirt
Openwork shirt,https://us.maje.com/en/p/openwork-shirt/MFPCM00584_0020.html,shirt
Cropped short-sleeves T-shirt,https://us.maje.com/en/p/cropped-short-sleeves-t-shirt/MFPTS00868_D009.html,t-shirt
Suit jacket,https://us.maje.com/en/p/suit-jacket/MFPVE00604_U017.html,jacket
Velour cargo trousers,https://us.maje.com/en/p/velour-cargo-trousers/MFPPA00674_0103.html,trousers
Organza shirt,https://us.maje.com/en/p/organza-shirt/MFPCM00595_10.html,shirt
Beaded satin floral skirt,https://us.maje.com/en/p/beaded-satin-floral-skirt/MFPJU01306_10.html,skirt
Lace maxi dress,https://us.maje.com/en/p/lace-maxi-dress/MFPRO03777_2517.html,dress
Cotton patchwork maxi dress,https://us.maje.com/en/p/cotton-patchwork-maxi-dress/MFPRO03698_0101.html,dress
Short cotton patchwork dress,https://us.maje.com/en/p/short-cotton-patchwork-dress/MFPRO03699_0101.html,dress
Lace shirt,https://us.maje.com/en/p/lace-shirt/MFPCM00580_10.html,shirt
Short lamé dress,https://us.maje.com/en/p/short-lame-dress/MFPRO03842_2517.html,dress
Ruffled dress,https://us.maje.com/en/p/ruffled-dress-/MFPRO03905_B018.html,dress
Oversized leather jacket,https://us.maje.com/en/p/oversized-leather-jacket/MFPBL00745_G005.html,jacket
Leather jacket,https://us.maje.com/en/p/leather-jacket-/MFPBL00747_2517.html,jacket
Leather trousers,https://us.maje.com/en/p/leather-trousers/MFPPA00685_2517.html,trousers
Denim jeans with pockets,https://us.maje.com/en/p/denim-jeans-with-pockets/MFPJE00654_0369.html,pockets
Cargo jeans,https://us.maje.com/en/p/cargo-jeans/MFPJE00614_2517.html,jeans
Straight-leg jeans,https://us.maje.com/en/p/straight-leg-jeans/MFPJE00615_0201.html,jeans
Flared jeans,https://us.maje.com/en/p/flared-jeans/MFPJE00662_2517.html,jeans
Embroidered high-waisted jeans,https://us.maje.com/en/p/embroidered-high-waisted-jeans/MFPJE00637_10.html,jeans
Straight-leg braided detail jeans,https://us.maje.com/en/p/straight-leg-braided-detail-jeans/MFPJE00604_0201.html,jeans
Smocked denim skirt,https://us.maje.com/en/p/smocked-denim-skirt/MFPJU01277_D018.html,skirt
Denim skort,https://us.maje.com/en/p/denim-skort/MFPSH00599_0369.html,skort
Cutaway denim maxi dress,https://us.maje.com/en/p/cutaway-denim-maxi-dress/MFPRO03697_D018.html,dress
Double waistband jeans,https://us.maje.com/en/p/double-waistband-jeans-/MFPJE00641_0201.html,jeans
Striped cardigan,https://us.maje.com/en/p/striped-cardigan-/MFPCA00521_0303.html,cardigan
Knit cardie with rhinestone Clover,https://us.maje.com/en/p/knit-cardie-with-rhinestone-clover/MFPCA00550_0101.html,clover
Short jacquard knit dress,https://us.maje.com/en/p/short-jacquard-knit-dress/MFPRO03918_B018.html,dress
Fancy knit cardigan,https://us.maje.com/en/p/fancy-knit-cardigan/MFPCA00508_O001.html,cardigan
2-in-1 velvet knit dress,https://us.maje.com/en/p/2-in-1-velvet-knit-dress/MFPRO03672_2523.html,dress
Longline cardigan,https://us.maje.com/en/p/longline-cardigan/MFPCA00532_0074.html,cardigan
Fancy knit top,https://us.maje.com/en/p/fancy-knit-top-/MFPPU00791_O001.html,top
Knit crop top,https://us.maje.com/en/p/knit-crop-top/MFPTO01078_2517.html,top
Short striped knit skirt,https://us.maje.com/en/p/short-striped-knit-skirt/MFPJU01287_D009.html,skirt
Sleeveless striped cardigan,https://us.maje.com/en/p/sleeveless-striped-cardigan/MFPCA00506_D009.html,cardigan
Knit 2-in-1 short dress,https://us.maje.com/en/p/knit-2-in-1-short-dress/MFPRO03818_0515.html,dress
Knit cardigan,https://us.maje.com/en/p/knit-cardigan/MFPCA00523_0101.html,cardigan
Cardigan with jewellery neck,https://us.maje.com/en/p/cardigan-with-jewellery-neck/MFPCA00575_0101.html,neck
Knit maxi dress,https://us.maje.com/en/p/knit-maxi-dress/MFPRO03823_O001.html,dress
Wool-blend jumper,https://us.maje.com/en/p/wool-blend-jumper/MFPPU00820_0103.html,jumper
Jacquard jumper,https://us.maje.com/en/p/jacquard-jumper/MFPPU00871_0076.html,jumper
Knit maxi dress,https://us.maje.com/en/p/knit-maxi-dress/MFPRO03834_2517.html,dress
Short knit dress,https://us.maje.com/en/p/short-knit-dress/MFPRO03709_10.html,dress
Wool and silk bodysuit,https://us.maje.com/en/p/wool-and-silk-bodysuit/MFPBD00020_2517.html,bodysuit
Ribbed wool jumper,https://us.maje.com/en/p/ribbed-wool-jumper/MFPPU00872_0130.html,jumper
Short knit dress,https://us.maje.com/en/p/short-knit-dress/MFPRO03787_2517.html,dress
Sleeveless jacquard jumper,https://us.maje.com/en/p/sleeveless-jacquard-jumper/MFPPU00868_0076.html,jumper
Wool-blend cardigan,https://us.maje.com/en/p/wool-blend-cardigan/MFPCA00541_0183.html,cardigan
V-neck jumper,https://us.maje.com/en/p/v-neck-jumper/MFPPU00852_G005.html,jumper
Cotton and silk ribbed top,https://us.maje.com/en/p/cotton-and-silk-ribbed-top/MFPPU00846_2507.html,top
Wool and silk bodysuit,https://us.maje.com/en/p/wool-and-silk-bodysuit/MFPBD00020_0515.html,bodysuit
Short knit dress,https://us.maje.com/en/p/short-knit-dress-/MFPRO03828_2517.html,dress
Wool and silk jumper,https://us.maje.com/en/p/wool-and-silk-jumper/MFPPU00823_0505.html,jumper
Wool and silk jumper,https://us.maje.com/en/p/wool-and-silk-jumper/MFPPU00875_0101.html,jumper
Sleeveless wool jumper,https://us.maje.com/en/p/sleeveless-wool-jumper/MFPPU00870_0130.html,jumper
Pointelle knit polo shirt,https://us.maje.com/en/p/pointelle-knit-polo-shirt/MFPPU00797_2517.html,shirt
Short knit dress,https://us.maje.com/en/p/short-knit-dress/MFPRO03822_O001.html,dress
Knit maxi dress,https://us.maje.com/en/p/knit-maxi-dress/MFPRO03741_2517.html,dress
Short pleated dress,https://us.maje.com/en/p/short-pleated-dress-/MFPRO03752_0103.html,dress
Open-back maxi dress,https://us.maje.com/en/p/open-back-maxi-dress/MFPRO03775_2517.html,dress
Pleated maxi dress with lace,https://us.maje.com/en/p/pleated-maxi-dress-with-lace/MFPRO03759_9901.html,dress
Pleated maxi dress,https://us.maje.com/en/p/pleated-maxi-dress/MFPRO03748_0103.html,dress
Pleated short-sleeved top,https://us.maje.com/en/p/pleated-short-sleeved-top/MFPTO01076_0103.html,top
Tiered maxi dress,https://us.maje.com/en/p/tiered-maxi-dress/MFPRO03779_0020.html,dress
Sequinned tweed jacket,https://us.maje.com/en/p/sequinned-tweed-jacket/MFPVE00625_2517.html,jacket
Sequinned tweed trousers,https://us.maje.com/en/p/sequinned-tweed-trousers/MFPPA00656_2517.html,trousers
Tweed 2-in-1 short dress,https://us.maje.com/en/p/tweed-2-in-1-short-dress/MFPRO03762_2517.html,dress
2-in-1 tweed dress,https://us.maje.com/en/p/2-in-1-tweed-dress/MFPRO03917_O001.html,dress
Sleeveless tweed dress,https://us.maje.com/en/p/sleeveless-tweed-dress/MFPRO04004_0183.html,dress
Tweed shorts,https://us.maje.com/en/p/tweed-shorts/MFPSH00591_2517.html,shorts
Tweed illusion shorts,https://us.maje.com/en/p/tweed-illusion-shorts/MFPSH00595_D038.html,shorts
Tweed skort,https://us.maje.com/en/p/tweed-skort/MFPSH00592_G005.html,skort
Tweed skirt,https://us.maje.com/en/p/tweed-skirt/MFPJU01320_0183.html,skirt
Sequinned tweed jacket,https://us.maje.com/en/p/sequinned-tweed-jacket/MFPVE00609_D038.html,jacket
Tweed dress,https://us.maje.com/en/p/tweed-dress/MFPRO03724_0505.html,dress
2-in-1 tweed dress,https://us.maje.com/en/p/2-in-1-tweed-dress/MFPRO03947_0201.html,dress
Tweed jacket,https://us.maje.com/en/p/tweed-jacket/MFPVE00596_0183.html,jacket
Short tweed dress,https://us.maje.com/en/p/short-tweed-dress/MFPRO03786_G005.html,dress
Tweed trousers,https://us.maje.com/en/p/tweed-trousers/MFPPA00679_G005.html,trousers
Short tweed jacket,https://us.maje.com/en/p/short-tweed-jacket/MFPBL00731_0505.html,jacket
Short sequin dress,https://us.maje.com/en/p/short-sequin-dress/MFPRO03882_0103.html,dress
Tweed babydoll dress,https://us.maje.com/en/p/tweed-babydoll-dress/MFPRO03770_0183.html,dress
Wide-leg tweed trousers,https://us.maje.com/en/p/wide-leg-tweed-trousers/MFPPA00661_0201.html,trousers
Tweed jacket,https://us.maje.com/en/p/tweed-jacket/MFPVE00606_0201.html,jacket
Tweed trousers,https://us.maje.com/en/p/tweed-trousers/MFPPA00647_0505.html,trousers
