Name,Type,Color,Image_URL
LINNEA BLOUSE,BLOUSE,SMOKED EGGPLANT,https://assets.aritzia.com/image/upload/medium/f24_a02_123472_25184_off_a.jpg
DEMETRA DRESS,DRESS,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a08_122759_11420_off_a.jpg
THE COCOON LONG COAT,COAT,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a05_102409_1274_off_a.jpg
CASHMERE RELAXED V-NECK SWEATER,SWEATER,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a03_121637_6046_off_a.jpg
PARFAIT LONGSLEEVE,LONGSLEEVE,SMOKED EGGPLANT,https://assets.aritzia.com/image/upload/medium/f24_a01_123323_25184_off_a.jpg
NOLA SWEATER,SWEATER,SMOKED EGGPLANT,https://assets.aritzia.com/image/upload/medium/f24_a03_113512_25184_off_a.jpg
BUTTER NEW CHEEKY HI-RISE LEGGING,LEGGING,SMOKY SAGE,https://assets.aritzia.com/image/upload/medium/f24_a06_118693_32774_off_a.jpg
HOMESTRETCH™ OFF-SHOULDER LONGSLEEVE,LONGSLEEVE,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a01_121679_1274_off_a.jpg
SICILY CARDIGAN,CARDIGAN,HEATHER LIGHT OATMEAL,https://assets.aritzia.com/image/upload/medium/f24_a03_90836_19631_off_a.jpg
CLARA MERINO WOOL SWEATER,SWEATER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_120138_1274_off_a.jpg
OLIVETTE BLOUSE,BLOUSE,CORNFLOWER BLUE,https://assets.aritzia.com/image/upload/medium/f24_a02_122132_29719_off_a.jpg
CLARA MERINO WOOL WAIST SWEATER,SWEATER,MATTE PEARL,https://assets.aritzia.com/image/upload/medium/f24_a03_112647_15104_off_a.jpg
THE SLOUCH™ DOUBLE FACE COAT,COAT,NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a05_110626_30654_off_a.jpg
BUTTER AXEL LONGSLEEVE,LONGSLEEVE,SHADY BLUE,https://assets.aritzia.com/image/upload/medium/f24_a01_120463_29771_off_a.jpg
FORMAFLEECE™ OXYGEN ZIP HOODIE,HOODIE,HEATHER CHROME,https://assets.aritzia.com/image/upload/medium/f24_a03_121020_4425_off_a.jpg
BUTTER MINI BRA TOP - A/B CUP,CUP,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a01_116678_33421_off_a.jpg
BUTTER ESSENTIAL JUMPSUIT,JUMPSUIT,RICH MOCHA BROWN,https://assets.aritzia.com/image/upload/medium/f24_a27_116753_18891_off_a.jpg
FORMAFLEECE™ ENDORPHIN ZIP-UP,ZIP-UP,HEATHER CHROME,https://assets.aritzia.com/image/upload/medium/f24_a03_121042_4425_off_a.jpg
THE SUPERSNUG PUFF™ VEST,VEST,MODERN TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a05_120544_6038_off_a.jpg
BUTTER NEW CHEEKY HI-RISE 5 SHORT,SHORT,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a26_116698_2819_off_a.jpg
FORMAFLEECE™ GYMNAST JOGGER,JOGGER,SHADY BLUE,https://assets.aritzia.com/image/upload/medium/f24_a06_122517_29771_off_a.jpg
REGGIE CARGO SKIRT,SKIRT,LIVED-IN ARMY GREEN,https://assets.aritzia.com/image/upload/medium/f24_a07_122490_33536_off_a.jpg
THE CONNOR COAT,COAT,SAVILLE,https://assets.aritzia.com/image/upload/medium/f24_a05_114466_19170_off_a.jpg
PEGGY CROPPED SWEATER,SWEATER,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a03_103524_6046_off_a.jpg
REMEDY DRESS,DRESS,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a08_118501_1274_off_a.jpg
LITTLE CROPPED JACKET,JACKET,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a04_95337_11420_off_a.jpg
CONTOUR MAXI TUBE DRESS,DRESS,DARK NIGHT NAVY,https://assets.aritzia.com/image/upload/medium/f24_a08_118760_30751_off_a.jpg
ENDLESS JUMPSUIT,JUMPSUIT,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a27_109432_1274_off_a.jpg
THE CONSTANT™ MID COAT,COAT,CARDAMOM BROWN,https://assets.aritzia.com/image/upload/medium/f24_a05_122679_34244_off_a.jpg
UPSCALE JUMPSUIT,JUMPSUIT,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a27_109289_1274_off_a.jpg
LILOU TUBE TOP,TOP,NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a02_119984_30654_off_a.jpg
SCULPT KNIT LEADING TOP,TOP,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a03_119124_11420_off_a.jpg
SMOOTH MATTER™ TOWER TOP,TOP,NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a01_120196_30654_off_a.jpg
THE FARRAH HI-RISE WIDE JEAN,JEAN,5 YRS KISS N TELL BL,https://assets.aritzia.com/image/upload/medium/f24_a06_107312_29866_off_a.jpg
SHIRT DRESS,DRESS,NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a08_121272_30654_off_a.jpg
SYNERGY BOMBER,BOMBER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a04_122310_1274_off_a.jpg
ELEMENT TUBE TOP,TOP,SCARAB,https://assets.aritzia.com/image/upload/medium/f24_a02_113673_10814_off_a.jpg
LOTTIE SWEATER,SWEATER,ADMIRAL,https://assets.aritzia.com/image/upload/medium/f24_a03_100793_10230_off_a.jpg
BARE CASHMERE CREW CARDIGAN,CARDIGAN,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_121635_1274_off_a.jpg
NEW GENERATION BLAZER,BLAZER,NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a04_116425_30654_off_a.jpg
MARCELO SHIRT,SHIRT,HANSON FLSHNG RD/BLK,https://assets.aritzia.com/image/upload/medium/f24_a02_120368_33650_off_a.jpg
BARE CASHMERE TURTLENECK SWEATER,SWEATER,HEATHER DARK GREY,https://assets.aritzia.com/image/upload/medium/f24_a03_121632_6448_off_a.jpg
UTILITY SHIRT,SHIRT,GD ARMY GREEN,https://assets.aritzia.com/image/upload/medium/f24_a02_96565_23144_off_a.jpg
DEAR SWEATER,SWEATER,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a03_110759_6046_off_a.jpg
THE ’90S SUPER HI-RISE WIDE JEAN,JEAN,7 YRS BLEU TABOO,https://assets.aritzia.com/image/upload/medium/f24_a06_121979_30426_off_a.jpg
GRAMERCY SHRUG,SHRUG,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_121186_1274_off_a.jpg
HOMESTRETCH™ CREW T-SHIRT,T-SHIRT,GD DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a01_102668_23354_off_a.jpg
GROUNDWORK BAGGY PANT,PANT,SUNKISSED NOMAD TAUPE,https://assets.aritzia.com/image/upload/medium/f24_a06_116440_33397_off_a.jpg
ROWAN SUPER HI-RISE STRAIGHT JEAN,JEAN,NO-STRESS LIGHT BLUE,https://assets.aritzia.com/image/upload/medium/f24_a06_121695_32510_off_a.jpg
THE SUPER PUFF™ SHORTY VEST,VEST,MATTE PEARL,https://assets.aritzia.com/image/upload/medium/f24_a05_117852_15104_off_a.jpg
POLARTEC® THERMAL PRO® MOCKNECK VEST,VEST,CORNFLOWER BLUE,https://assets.aritzia.com/image/upload/medium/f24_a03_112347_29719_off_a.jpg
TEMPERANCE PARACHUTE PANT,PANT,BOSANA GREEN,https://assets.aritzia.com/image/upload/medium/f24_a06_119671_32375_off_a.jpg
GALLERY TOP,TOP,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a01_121012_11420_off_a.jpg
EYECATCHER DRESS,DRESS,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a08_109178_33421_off_a.jpg
SPECTRE DRESS,DRESS,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a08_107246_11420_off_a.jpg
NICOLETTE SATIN DRESS,DRESS,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a08_122951_1274_off_a.jpg
ELEMENT TUBE TOP,TOP,WHITE,https://assets.aritzia.com/image/upload/medium/f24_a02_119103_1275_off_a.jpg
EYECATCHER MICRO DRESS,DRESS,NOBLE,https://assets.aritzia.com/image/upload/medium/f24_a08_121483_11163_off_a.jpg
METROPOLITAN COAT,COAT,HEATHER DARK GREY,https://assets.aritzia.com/image/upload/medium/f24_a05_122683_6448_off_a.jpg
ISABELLE WOOL CASHMERE SWEATER,SWEATER,LIGHT BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a03_119992_11420_off_a.jpg
HYDE SATIN MINI DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_115693_2819_off_a.jpg
LOLA DRESS,DRESS,DARK NIGHT NVY/LT BR,https://assets.aritzia.com/image/upload/medium/f24_a08_122355_31325_off_a.jpg
SLIP SATIN MAXI SKIRT,SKIRT,SUMAC BURGUNDY,https://assets.aritzia.com/image/upload/medium/f24_a07_118884_33421_off_a.jpg
TWIRL PLEATED SKIRT,SKIRT,SMOKED EGGPLANT,https://assets.aritzia.com/image/upload/medium/f24_a07_120828_25184_off_a.jpg
BOND DRESS,DRESS,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a08_114316_1274_off_a.jpg
TEDDY COAT,COAT,OAT BEIGE,https://assets.aritzia.com/image/upload/medium/f24_a05_121597_19250_off_a.jpg
BISCOTTI CARDIGAN,CARDIGAN,WHISPER WHITE,https://assets.aritzia.com/image/upload/medium/f24_a03_119754_2175_off_a.jpg
CONTOUR FLOURISH TOP,TOP,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a01_115232_2819_off_a.jpg
